company,n_articles,n_articles_major,n_words,pos,neg,unc,str_m,weak_m
ATEN,18,2,431.27777777777777,0.004511058087017832,0.007885109739879652,0.005328116063832608,0.0018461208430455012,0.004114082675140512
ACIA,8,1,289.625,0.004671904217461151,0.010205613712804188,0.023850762209044873,0.0054482003011414775,0.023529011887294553
ACLLY,1,0,102.0,0.0196078431372549,0.0,0.0,0.00980392156862745,0.0
ACMR,2,0,534.0,0.002015155174495834,0.009336130902064968,0.0012755102040816326,0.0014792899408284023,0.0012755102040816326
ACTV.2,13,3,406.3076923076923,0.015744651034469773,0.0020790032828225604,0.004287870380585966,0.0049089028952969144,0.0029995665869750957
IOTS,4,0,160.75,0.0,0.0,0.0,0.0,0.0
ARX,15,0,354.1333333333333,0.002693141947926311,0.004544830736291,0.006096587740037137,0.00540999770607246,0.004344976039564851
AIRG,2,0,44.5,0.0,0.0,0.0,0.0,0.0
AKTS,9,0,561.8888888888889,0.007065735639399804,0.005450625316661349,0.015403450295620184,0.004473332662817512,0.0034066408229133428
ALTR,7,0,337.85714285714283,0.002554595595613983,0.0013300105520756159,0.0011823767410754683,0.005200619683406874,0.00048100048100048096
AYX,29,0,447.55172413793105,0.007885035182824362,0.0031563550958345586,0.004931922991539456,0.003240704954386597,0.0022585764209946675
AMBR,5,1,561.8,0.004893348745394935,0.007222320201086846,0.0037288630175489794,0.0004143181130609977,0.002485908678365986
PLAN,29,6,456.48275862068965,0.004294740831016117,0.004834750175158505,0.0038554992895806065,0.0029800136037304633,0.0032754213892663064
ANGI.1,34,9,551.8823529411765,0.011292971488319935,0.009797169391413653,0.006419324038503357,0.0047310763731555966,0.0040454850860770315
APIC,10,0,298.2,0.004675071364423632,0.0012765411508114696,0.0017889884961618235,0.0022711661000277975,0.0015088764513438962
APPF,9,0,504.22222222222223,0.003480766176606351,0.001020365157635326,0.004774738660668421,0.0003132832080200501,0.003728691338974355
APPN,16,2,326.125,0.002682604685977044,0.004472297478936647,0.01210866113795827,0.004759816059861371,0.010571239869169802
AAOI,3,0,271.6666666666667,0.0016835016835016836,0.0015015015015015015,0.0,0.0015015015015015015,0.0
