company,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,n_articles,n_articles_major,n_words,pos,neg,unc,str_m,weak_m,s1*t1,s2*t2,s3*t3,s4*t4,s5*t5,s6*t6,s7*t7,s8*t8,s9*t9,s10*t10,s11*t11,s12*t12,s13*t13,s14*t14,s15*t15,s16*t16,s17*t17,s18*t18,s19*t19,s20*t20,s21*t21,s22*t22,s23*t23,s24*t24,s25*t25,s26*t26,s27*t27,s28*t28,s29*t29,s30*t30,comp_perf,energy,ipo,product,corp_gov,stock_ex,buy,underwriters,investors,sec_filing,analyst,sent_comp_perf,sent_energy,sent_ipo,sent_product,sent_corp_gov,sent_stock_ex,sent_buy,sent_underwriters,sent_investors,sent_sec_filing,sent_analyst,int_comp_perf,int_energy,int_ipo,int_product,int_corp_gov,int_stock_ex,int_buy,int_underwriters,int_investors,int_sec_filing,int_analyst,quarter,week_ret,week_std,month_ret,month_std,vol_m,net_value_m,stock_exchange,rating
ATEN,0.3714788732394366,0.1619718309859155,0.0968309859154929,0.1109154929577464,0.0440140845070422,0.0334507042253521,0.0123239436619718,0.0035211267605633,0.0070422535211267,0.0035211267605633,0.079225352112676,0.0070422535211267,0.005281690140845,0.0,0.0035211267605633,0.0017605633802816,0.0070422535211267,0.0,0.0,0.0070422535211267,0.0088028169014084,0.0088028169014084,0.0035211267605633,0.0017605633802816,0.0035211267605633,0.0,0.0,0.0,0.005281690140845,0.0123239436619718,0.0896226415094339,0.1505376344086021,0.1428571428571428,0.03125,0.0384615384615384,0.25,0.0,-0.3333333333333333,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,31,0,511.61290322580646,0.0091258661833342,0.0088372346250763,0.0041974875458256,0.0059495121065315,0.0028472729845124,0.03329291788466647,0.024382856277449638,0.01383299798792755,0.003466109154929575,0.001692849404117005,0.008362676056338026,0.0,-0.0011737089201877666,0.0042253521126760195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002934272300469467,0.0,0.0,0.0,0.0011737089201877666,0.0,0.0,0.0,0.0,0.0,0.3714788732394366,0.1619718309859155,0.1109154929577464,0.045774647887323903,0.0035211267605633,0.0017605633802816,0.0,0.01056338028169,0.1619718309859152,0.0264084507042251,0.37676056338028163,0.04481132075471695,0.1505376344086021,0.015625,0.125,0.3333333333333333,0.0,0.0,0.0,0.03626373626373624,0.06666666666666667,0.04481132075471695,0.016646458942333235,0.024382856277449638,0.0017330545774647875,0.005721830985915488,0.0011737089201877666,0.0,0.0,0.0,0.00587370376102769,0.0017605633802816733,0.016883138453361667,2014Q1,-1.5500000000000007,0.04734934962717086,-1.9400000000000013,0.03326532522203677,16609007.0,0.0,11.0,unrated
ACIA,0.3338788870703764,0.2193126022913257,0.1636661211129296,0.0769230769230769,0.0212765957446808,0.0163666121112929,0.0081833060556464,0.0130932896890343,0.0098199672667757,0.0130932896890343,0.0,0.0016366612111292,0.0049099836333878,0.0098199672667757,0.0016366612111292,0.0049099836333878,0.0032733224222585,0.0,0.0032733224222585,0.0049099836333878,0.0098199672667757,0.0065466448445171,0.0,0.0343698854337152,0.0,0.0163666121112929,0.0147299509001636,0.0,0.0049099836333878,0.0032733224222585,0.2390243902439024,0.2148148148148148,0.3168316831683168,0.0,0.2142857142857142,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.1428571428571428,-0.4,0.0,0.0909090909090909,0.0,0.0,0.9,0.0,0.0,0.0,29,4,524.448275862069,0.00501163582837,0.0089618027802424,0.0105504634419682,0.0024199430136741,0.0073633926516253,0.07980519739730947,0.04711159604776626,0.05185461262983908,0.0,0.004559270516717312,0.0,0.0,0.0,0.0,0.0014548099654482555,0.0,0.0,0.0,0.0,0.0008183306055646,0.00122749590834695,0.0,0.0,0.0,0.0,0.0014028524666822421,-0.0026186579378068404,0.0,0.003124535039428654,0.0,0.0,0.01325695581014724,0.0,0.0,0.0,0.33715220949263486,0.2193126022913257,0.0867430441898526,0.0245499181669393,0.0,0.0343698854337152,0.0147299509001636,0.0114566284779049,0.1931260229132567,0.0360065466448442,0.3387888707037642,0.1195121951219512,0.2148148148148148,0.0,0.0,0.0,0.0909090909090909,0.9,-0.07500000000000001,0.1062234794908062,0.06349206349206347,0.1195121951219512,0.04029380064668075,0.04711159604776626,0.0,0.0,0.0,0.003124535039428654,0.01325695581014724,-0.0008592471358428676,0.02051451813406729,0.002286129945704393,0.04048940162069376,2016Q2,-1.5700000000000003,0.049341001127757245,5.309999999999999,0.05060268600967304,10970551.0,0.0,14.0,unrated
ACMR,0.4407158836689038,0.2192393736017897,0.0917225950782997,0.0402684563758389,0.0313199105145413,0.0425055928411633,0.0044742729306487,0.0022371364653243,0.0022371364653243,0.0044742729306487,0.0,0.0,0.0156599552572706,0.0,0.0,0.0044742729306487,0.0022371364653243,0.0,0.0022371364653243,0.0134228187919463,0.0111856823266219,0.0022371364653243,0.0,0.0111856823266219,0.0022371364653243,0.0022371364653243,0.0268456375838926,0.0,0.0223713646532438,0.0044742729306487,0.2929292929292929,0.5151515151515151,0.238095238095238,0.2105263157894736,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.8461538461538461,0.0,0.0,0.0,26,0,245.96153846153845,0.0014940346354318,0.0121102819027666,0.0055941008238076,0.0008659538683786,0.0006884380846803,0.1290985921858405,0.11294149549183105,0.021838713113880873,0.008477569763334502,0.01252796420581652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00111856823266215,0.0,0.0,0.0,0.0,0.022715539494062967,0.0,0.0,0.0,0.4429530201342281,0.2192393736017897,0.0402684563758389,0.046979865771812,0.0022371364653243,0.0111856823266219,0.0268456375838926,0.006711409395973001,0.1431767337807603,0.0201342281879192,0.4630872483221476,0.14646464646464644,0.5151515151515151,0.1052631578947368,0.0,0.0,0.0,0.8461538461538461,0.25,0.1276190476190476,0.0,0.14646464646464644,0.06487695749440714,0.11294149549183105,0.004238784881667251,0.0,0.0,0.0,0.022715539494062967,0.0016778523489932502,0.018272078406306548,0.0,0.06782591010778928,2017Q4,-0.1100000000000001,0.03682046824497544,0.13666666666666671,0.03702536361443773,1177011.0,0.0,14.0,unrated
ACTV.2,0.376953125,0.203125,0.1015625,0.0859375,0.056640625,0.02734375,0.0078125,0.0234375,0.0,0.0078125,0.005859375,0.0,0.0,0.005859375,0.0,0.0,0.05859375,0.001953125,0.0,0.013671875,0.001953125,0.00390625,0.0,0.00390625,0.0,0.0078125,0.0,0.0,0.00390625,0.001953125,0.0309278350515463,0.0095238095238095,0.2075471698113207,-0.0222222222222222,0.0666666666666666,-0.1333333333333333,0.0,0.1538461538461538,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,5,358.3684210526316,0.0080591971171479,0.0060783352178947,0.0090208087639768,0.0019978437274195,0.0069764289349628,0.011658344072164914,0.0019345238095238048,0.021079009433962258,-0.0019097222222222202,0.003776041666666663,-0.0036458333333333325,0.0,0.0036057692307692297,0.0,0.0,0.0029296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.376953125,0.203125,0.091796875,0.03515625,0.0,0.00390625,0.0,0.00390625,0.16015625,0.068359375,0.380859375,0.01546391752577315,0.0095238095238095,-0.0111111111111111,-0.06666666666666665,0.0,0.0,0.0,0.0,0.054842767295597464,0.0,0.01546391752577315,0.005829172036082457,0.0019345238095238048,-0.0010199652777777768,-0.0023437499999999995,0.0,0.0,0.0,0.0,0.008783411949685531,0.0,0.005889577963917508,2011Q2,2.380000000000001,0.08046382202095424,0.09999999999999964,0.04305405315919684,8821575.0,0.0,11.0,unrated
IOTS,0.2278481012658227,0.2531645569620253,0.1677215189873417,0.0981012658227848,0.0759493670886076,0.0316455696202531,0.0379746835443038,0.0126582278481012,0.0126582278481012,0.0126582278481012,0.0063291139240506,0.0,0.0063291139240506,0.0031645569620253,0.0,0.0,0.0126582278481012,0.0,0.0031645569620253,0.0031645569620253,0.0063291139240506,0.0,0.0031645569620253,0.0,0.0031645569620253,0.0063291139240506,0.0,0.0,0.0031645569620253,0.0126582278481012,0.1506849315068493,0.1481481481481481,0.3148148148148148,0.3125,0.28,0.1818181818181818,0.2307692307692307,0.4,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0,576.5263157894736,0.0031389557085359,0.0020583414266108,0.0024284876286732,0.0018055578207184,0.0002999688936292,0.034333275533206156,0.0375058602906704,0.05280121894045942,0.03065664556962025,0.02126582278481013,0.005753739930955108,0.00876338851022395,0.00506329113924048,0.00253164556962024,0.00253164556962024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00158227848101265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.231012658227848,0.2531645569620253,0.10126582278481011,0.06962025316455689,0.0031645569620253,0.0,0.0,0.0,0.2658227848101264,0.0443037974683542,0.231012658227848,0.3253424657534246,0.1481481481481481,0.15625,0.20629370629370625,0.0,0.0,0.0,0.0,0.11896296296296298,0.1,0.07534246575342465,0.07515822784810122,0.0375058602906704,0.01582278481012658,0.014362220058422573,0.0,0.0,0.0,0.0,0.031623066104078744,0.004430379746835421,0.017405063291139233,2015Q4,-0.3100000000000005,0.06328132709360255,1.0899999999999999,0.043620380661188896,1333600.0,0.0,14.0,unrated
ARX,0.4873540856031128,0.0729571984435797,0.0437743190661478,0.0330739299610894,0.0398832684824902,0.0330739299610894,0.0029182879377431,0.0175097276264591,0.0029182879377431,0.0087548638132295,0.0,0.0087548638132295,0.0097276264591439,0.0058365758754863,0.0223735408560311,0.0029182879377431,0.046692607003891,0.0243190661478599,0.0029182879377431,0.0301556420233463,0.0136186770428015,0.0019455252918287,0.0009727626459143,0.0048638132295719,0.0126459143968871,0.0019455252918287,0.0009727626459143,0.0447470817120622,0.0165369649805447,0.0058365758754863,-0.0019920318725099,-0.0131578947368421,0.0217391304347826,-0.0571428571428571,0.0,-0.0571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,2,372.037037037037,0.0020456633414216,0.0156229760706246,0.0033481500165548,0.0023407881289307,0.0018474337538864,-0.0009708248717193188,-0.000959963137415522,0.000951615631872778,-0.0018899388549193927,0.0,-0.0018899388549193927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4902723735408559,0.0729571984435797,0.038910505836575696,0.035992217898832495,0.0126459143968871,0.0048638132295719,0.0009727626459143,0.0048638132295718,0.1001945525291825,0.0719844357976651,0.5038910505836575,-0.00099601593625495,-0.0131578947368421,-0.02857142857142855,-0.02857142857142855,0.0,0.0,0.0,0.0,0.00434782608695652,0.0,-0.00099601593625495,-0.0004883190971522321,-0.000959963137415522,-0.0011117287381878763,-0.0010283490828237847,0.0,0.0,0.0,0.0,0.000435628489257315,0.0,-0.0005018835165175719,2010Q4,0.8300000000000001,0.026894878822830662,1.6899999999999995,0.027130823616450247,6891686.0,0.0,11.0,unrated
AIRG,0.274914089347079,0.2233676975945017,0.1030927835051546,0.140893470790378,0.0687285223367697,0.0343642611683848,0.0103092783505154,0.0274914089347079,0.0274914089347079,0.0171821305841924,0.0034364261168384,0.0,0.0,0.0034364261168384,0.0,0.0,0.0034364261168384,0.0034364261168384,0.0,0.0103092783505154,0.0068728522336769,0.0,0.0,0.0034364261168384,0.0103092783505154,0.0,0.0068728522336769,0.0034364261168384,0.0137457044673539,0.0034364261168384,0.074074074074074,0.2121212121212121,0.0967741935483871,0.119047619047619,0.3333333333333333,0.3636363636363636,0.0,0.1111111111111111,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,17,0,696.1764705882352,0.0058299382320381,0.0030207818499138,0.0059669772506227,0.0024398538434372,0.0041752099700981,0.02036400661830213,0.04738102676247005,0.0099767209843698,0.016773032236949755,0.022909507445589897,0.012496094970321744,0.0,0.003054600992745322,0.0,0.002863688430698732,0.0,0.0,0.0,0.0,0.0,0.0,0.0017182130584192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022909507445589665,0.0,0.0,0.0,0.274914089347079,0.2233676975945017,0.1443298969072164,0.0446735395189002,0.0103092783505154,0.0034364261168384,0.0068728522336769,0.0,0.1752577319587627,0.0549828178694156,0.2886597938144329,0.037037037037037,0.2121212121212121,0.0595238095238095,0.1818181818181818,0.0,0.0,0.3333333333333333,0.0,0.08602150537634408,0.16666666666666666,0.037037037037037,0.010182003309151064,0.04738102676247005,0.00859106529209621,0.008122461730709126,0.0,0.0,0.0022909507445589665,0.0,0.015075933931936576,0.009163802978235932,0.010691103474608615,2016Q3,1.9499999999999993,0.05729010993492057,5.279999999999999,0.07288612275138309,7066410.0,0.0,14.0,unrated
AKTS,0.2909090909090909,0.1558441558441558,0.1545454545454545,0.0961038961038961,0.048051948051948,0.0376623376623376,0.0038961038961038,0.0025974025974025,0.0116883116883116,0.0077922077922077,0.0142857142857142,0.0142857142857142,0.0,0.0025974025974025,0.0038961038961038,0.0038961038961038,0.0246753246753246,0.0038961038961038,0.0,0.0259740259740259,0.0077922077922077,0.0051948051948051,0.0025974025974025,0.0012987012987012,0.0155844155844155,0.0038961038961038,0.0038961038961038,0.035064935064935,0.0207792207792207,0.0012987012987012,0.0488888888888888,0.1570247933884297,-0.0833333333333333,0.0933333333333333,-0.3157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.4761904761904761,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,31,0,611.0967741935484,0.0077831482223392,0.0072197965148262,0.0108181134578109,0.0047800486296167,0.0026642143688987,0.014222222222222197,0.024471396372222804,-0.012878787878787872,0.008969696969696966,-0.015174299384825682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012337662337662302,0.0,0.0,0.012368583797155188,0.0,0.0,0.0,0.0,0.0,0.0,0.0019480519480519,0.0,0.0,0.0,0.2909090909090909,0.1558441558441558,0.0987012987012986,0.0415584415584414,0.0155844155844155,0.0012987012987012,0.0038961038961038,0.0090909090909089,0.20649350649350617,0.051948051948051605,0.31168831168831157,0.0244444444444444,0.1570247933884297,0.04666666666666665,0.0,0.0,0.0,0.5,0.0,-0.07982456140350877,0.0125,0.0244444444444444,0.0071111111111110984,0.024471396372222804,0.0046060606060606,0.0,0.0,0.0,0.0019480519480519,0.0,-0.01648325358851672,0.0006493506493506451,0.0076190476190476026,2017Q1,0.8329000000000004,0.07912516331529679,3.990500000000001,0.06794290829504082,1557975.0,0.0,14.0,unrated
ALTR,0.3071428571428571,0.1738095238095238,0.1357142857142857,0.125,0.0297619047619047,0.0238095238095238,0.0059523809523809,0.0095238095238095,0.0083333333333333,0.0023809523809523,0.0142857142857142,0.0011904761904761,0.0107142857142857,0.0011904761904761,0.0059523809523809,0.0071428571428571,0.0107142857142857,0.0285714285714285,0.0047619047619047,0.0297619047619047,0.0047619047619047,0.0,0.0047619047619047,0.0071428571428571,0.0059523809523809,0.0142857142857142,0.0035714285714285,0.0023809523809523,0.0083333333333333,0.013095238095238,0.2972972972972973,0.3673469387755102,0.2695652173913043,0.0660377358490566,0.6153846153846154,0.238095238095238,0.5,0.0,0.25,0.0,0.0,-0.5,0.2,0.0,0.1666666666666666,0.4285714285714285,0.0,-0.04,0.0,0.0384615384615384,0.0,0.0,0.4,0.1428571428571428,0.0,-0.0769230769230769,0.5,0.0,0.125,0.0833333333333333,35,0,558.4285714285714,0.0084497801318547,0.0082883240021438,0.0023002779051192,0.0026704554869561,0.0007947025165457,0.09131274131274131,0.06384839650145772,0.03658385093167701,0.008254716981132075,0.018315018315018278,0.005668934240362807,0.00297619047619045,0.0,0.002083333333333325,0.0,0.0,-0.00059523809523805,0.0021428571428571404,0.0,0.000992063492063483,0.0030612244897958996,0.0,-0.0011428571428571401,0.0,0.0011446886446886406,0.0,0.0,0.00190476190476188,0.0010204081632652995,0.0,-0.001098901098901092,0.00178571428571425,0.0,0.0010416666666666625,0.0010912698412698328,0.3119047619047618,0.1738095238095238,0.1261904761904761,0.0297619047619047,0.0059523809523809,0.0071428571428571,0.0035714285714285,0.0071428571428571,0.1940476190476188,0.026190476190476,0.3154761904761904,0.14864864864864866,0.3673469387755102,0.0330188679245283,0.369047619047619,0.0,0.1428571428571428,0.5,0.21428571428571425,0.31365663322185056,0.0625,0.21114864864864866,0.04636422136422135,0.06384839650145772,0.004166666666666664,0.010983560090702924,0.0,0.0010204081632652995,0.00178571428571425,0.0015306122448979498,0.060864322875192355,0.00163690476190475,0.06661237129987128,2017Q4,2.0500000000000007,0.06242749654048979,5.150000000000002,0.04617950168242228,15960361.0,0.0,14.0,unrated
AYX,0.3438914027149321,0.1866515837104072,0.1606334841628959,0.1063348416289592,0.0316742081447963,0.0271493212669683,0.0101809954751131,0.004524886877828,0.007918552036199,0.004524886877828,0.0135746606334841,0.006787330316742,0.001131221719457,0.005656108597285,0.0,0.006787330316742,0.006787330316742,0.001131221719457,0.005656108597285,0.0124434389140271,0.004524886877828,0.0090497737556561,0.003393665158371,0.0,0.006787330316742,0.007918552036199,0.0158371040723981,0.001131221719457,0.005656108597285,0.002262443438914,0.2655737704918032,0.3192771084337349,0.2657342657342657,0.1578947368421052,-0.0344827586206896,0.12,0.0,0.0,0.125,0.0,0.0,0.0,0.5,0.1666666666666666,0.0,0.0,0.1428571428571428,0.0,0.3333333333333333,-0.0833333333333333,0.0,0.1111111111111111,0.25,0.0,0.5714285714285714,0.0,0.6666666666666666,0.0,0.1666666666666666,0.0,42,3,422.07142857142856,0.0092143937275754,0.0057685275818832,0.0053172521940851,0.0028206335551214,0.0037144193062939,0.09132853645871965,0.05959357793163603,0.04268582096636394,0.016789711836151446,-0.0010922140739584914,0.0032579185520361957,0.0,0.0,0.000989819004524875,0.0,0.0,0.0,0.0005656108597285,0.0009426847662141663,0.0,0.0,0.0009696186166774282,0.0,0.0018853695324283332,-0.0010369532428355912,0.0,0.0010055304172951222,0.00084841628959275,0.0,0.003878474466709714,0.0,0.010558069381598732,0.0,0.0009426847662141663,0.0,0.3495475113122171,0.1866515837104072,0.11199095022624421,0.0373303167420814,0.006787330316742,0.0,0.0158371040723981,0.0158371040723981,0.1990950226244342,0.023755656108597,0.3495475113122171,0.2994535519125683,0.3192771084337349,0.16228070175438591,0.06,0.5714285714285714,0.0,0.6666666666666666,0.05555555555555555,0.1962503014227152,0.0669642857142857,0.2161202185792349,0.10467324382464206,0.05959357793163603,0.018173969992855414,0.002239819004524884,0.003878474466709714,0.0,0.010558069381598732,0.0008798391151332277,0.03907245820180752,0.0015907805429864058,0.07554428454862396,2017Q1,0.13000000000000078,0.02396624868701593,-0.6999999999999993,0.024876243805297484,11138587.0,0.0,11.0,unrated
