company,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,n_articles,n_articles_major,n_words,pos,neg,unc,str_m,weak_m,s1*t1,s2*t2,s3*t3,s4*t4,s5*t5,s6*t6,s7*t7,s8*t8,s9*t9,s10*t10,s11*t11,s12*t12,s13*t13,s14*t14,s15*t15,s16*t16,s17*t17,s18*t18,s19*t19,s20*t20,s21*t21,s22*t22,s23*t23,s24*t24,s25*t25,s26*t26,s27*t27,s28*t28,s29*t29,s30*t30,comp_perf,energy,ipo,product,corp_gov,stock_ex,buy,underwriters,investors,sec_filing,analyst,sent_comp_perf,sent_energy,sent_ipo,sent_product,sent_corp_gov,sent_stock_ex,sent_buy,sent_underwriters,sent_investors,sent_sec_filing,sent_analyst,int_comp_perf,int_energy,int_ipo,int_product,int_corp_gov,int_stock_ex,int_buy,int_underwriters,int_investors,int_sec_filing,int_analyst,quarter,week_ret,week_std,month_ret,month_std,vol_m,net_value_m,stock_exchange,rating
ATEN,0.4137931034482758,0.2543103448275862,0.1508620689655172,0.0775862068965517,0.021551724137931,0.0301724137931034,0.0043103448275862,0.0,0.0043103448275862,0.0,0.0258620689655172,0.0043103448275862,0.0,0.0,0.0043103448275862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043103448275862,0.0,0.0,0.0,0.0,0.0043103448275862,0.1237113402061855,0.0833333333333333,0.0,0.0,0.0,-0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2,431.27777777777777,0.0045110580870178,0.0078851097398796,0.0053281160638326,0.0018461208430455,0.0041140826751405,0.05119089939566296,0.021192528735632175,0.0,0.0,0.0,-0.003771551724137925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4137931034482758,0.2543103448275862,0.0775862068965517,0.0344827586206896,0.0043103448275862,0.0,0.0,0.0,0.1767241379310344,0.0043103448275862,0.4137931034482758,0.06185567010309275,0.0833333333333333,0.0,-0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.06185567010309275,0.02559544969783148,0.021192528735632175,0.0,-0.0021551724137931,0.0,0.0,0.0,0.0,0.0,0.0,0.02559544969783148,2014Q1,-1.5500000000000007,0.04734934962717086,-1.9400000000000013,0.03326532522203677,16609007.0,0.0,11.0,unrated
ACIA,0.4700854700854701,0.2222222222222222,0.0769230769230769,0.1025641025641025,0.017094017094017,0.0085470085470085,0.0,0.0,0.0,0.0,0.017094017094017,0.0085470085470085,0.0,0.0,0.0,0.0,0.0085470085470085,0.0,0.0,0.0,0.0085470085470085,0.0,0.0,0.0,0.0,0.0427350427350427,0.0085470085470085,0.0085470085470085,0.0,0.0,0.0535714285714285,0.0,0.0,0.1538461538461538,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,8,1,289.625,0.0046719042174611,0.0102056137128041,0.0238507622090448,0.0054482003011414,0.0235290118872945,0.02518315018315015,0.0,0.0,0.015779092702169612,0.005698005698005666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00427350427350425,0.0,0.0,0.0,0.4700854700854701,0.2222222222222222,0.1025641025641025,0.0085470085470085,0.0,0.0,0.0085470085470085,0.0,0.0940170940170939,0.017094017094017,0.4700854700854701,0.02678571428571425,0.0,0.0769230769230769,0.0,0.0,0.0,0.5,0.0,0.06666666666666667,0.0,0.02678571428571425,0.012591575091575075,0.0,0.007889546351084806,0.0,0.0,0.0,0.00427350427350425,0.0,0.006267806267806261,0.0,0.012591575091575075,2016Q2,-1.5700000000000003,0.049341001127757245,5.309999999999999,0.05060268600967304,10970551.0,0.0,14.0,unrated
ACMR,0.3428571428571428,0.4,0.2,0.0571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0769230769230769,-0.1333333333333333,0.0,-0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,534.0,0.0020151551744958,0.0093361309020649,0.0012755102040816,0.0014792899408284,0.0012755102040816,0.026373626373626363,-0.05333333333333332,0.0,-0.019047619047619032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3428571428571428,0.4,0.0571428571428571,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.3428571428571428,0.03846153846153845,-0.1333333333333333,-0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03846153846153845,0.013186813186813182,-0.05333333333333332,-0.009523809523809516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013186813186813182,2017Q4,-0.1100000000000001,0.03682046824497544,0.13666666666666671,0.03702536361443773,1177011.0,0.0,14.0,unrated
ACTV.2,0.4028776978417266,0.2805755395683453,0.1151079136690647,0.0503597122302158,0.0575539568345323,0.0359712230215827,0.014388489208633,0.0071942446043165,0.0,0.0071942446043165,0.0,0.0,0.0,0.0,0.0071942446043165,0.0,0.0,0.0,0.0,0.0071942446043165,0.0,0.0071942446043165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0071942446043165,0.1578947368421052,0.2,0.1764705882352941,0.125,0.3333333333333333,0.3333333333333333,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,13,3,406.3076923076923,0.0157446510344697,0.0020790032828225,0.0042878703805859,0.0049089028952969,0.002999566586975,0.0636122680802726,0.05611510791366906,0.0203131612357173,0.006294964028776975,0.019184652278177432,0.0119904076738609,0.0,0.00359712230215825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00359712230215825,0.4028776978417266,0.2805755395683453,0.0503597122302158,0.050359712230215695,0.0,0.0,0.0,0.0071942446043165,0.1798561151079135,0.0071942446043165,0.4028776978417266,0.0789473684210526,0.2,0.0625,0.16666666666666666,0.0,0.0,0.0,0.0,0.2019607843137255,0.0,0.0789473684210526,0.0318061340401363,0.05611510791366906,0.0031474820143884874,0.008393285371702615,0.0,0.0,0.0,0.0,0.036323882070813905,0.0,0.0318061340401363,2011Q2,2.380000000000001,0.08046382202095424,0.09999999999999964,0.04305405315919684,8821575.0,0.0,11.0,unrated
IOTS,0.3333333333333333,0.1851851851851851,0.1481481481481481,0.074074074074074,0.074074074074074,0.074074074074074,0.0,0.037037037037037,0.0,0.0,0.037037037037037,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,160.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.1851851851851851,0.074074074074074,0.074074074074074,0.0,0.0,0.0,0.0,0.2222222222222221,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015Q4,-0.3100000000000005,0.06328132709360255,1.0899999999999999,0.043620380661188896,1333600.0,0.0,14.0,unrated
ARX,0.3206521739130434,0.2934782608695652,0.1141304347826086,0.1141304347826086,0.0706521739130434,0.0217391304347826,0.0054347826086956,0.0108695652173913,0.0054347826086956,0.0,0.0,0.0054347826086956,0.0054347826086956,0.0,0.0,0.0,0.0054347826086956,0.0,0.0,0.0108695652173913,0.0054347826086956,0.0,0.0,0.0054347826086956,0.0,0.0,0.0,0.0,0.0,0.0054347826086956,0.0333333333333333,0.0727272727272727,-0.0454545454545454,0.0454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0,354.1333333333333,0.0026931419479263,0.004544830736291,0.0060965877400371,0.0054099977060724,0.0043449760395648,0.010688405797101435,0.02134387351778655,-0.0051877470355731125,0.0051877470355731125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3206521739130434,0.2934782608695652,0.1141304347826086,0.0271739130434782,0.0,0.0054347826086956,0.0,0.0,0.1956521739130432,0.0163043478260868,0.3206521739130434,0.01666666666666665,0.0727272727272727,0.0227272727272727,0.0,0.0,0.0,0.0,0.0,-0.00909090909090908,0.0,0.01666666666666665,0.0053442028985507175,0.02134387351778655,0.0025938735177865563,0.0,0.0,0.0,0.0,0.0,-0.0017786561264822088,0.0,0.0053442028985507175,2010Q4,0.8300000000000001,0.026894878822830662,1.6899999999999995,0.027130823616450247,6891686.0,0.0,11.0,unrated
AIRG,0.6666666666666666,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,44.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016Q3,1.9499999999999993,0.05729010993492057,5.279999999999999,0.07288612275138309,7066410.0,0.0,14.0,unrated
AKTS,0.3441860465116279,0.1116279069767441,0.1581395348837209,0.0372093023255813,0.0604651162790697,0.0604651162790697,0.0,0.0093023255813953,0.0232558139534883,0.0,0.0325581395348837,0.013953488372093,0.0,0.0,0.0046511627906976,0.0,0.0232558139534883,0.0,0.0,0.0186046511627906,0.0,0.0,0.0,0.0,0.0186046511627906,0.0,0.0,0.0465116279069767,0.0372093023255813,0.0,0.0266666666666666,0.2,-0.1714285714285714,0.0,-0.3571428571428571,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,561.8888888888889,0.0070657356393998,0.0054506253166613,0.0154034502956201,0.0044733326628175,0.0034066408229133,0.009178294573643386,0.02232558139534882,-0.027109634551495006,0.0,-0.02159468438538203,0.0,0.0,0.003100775193798433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01116279069767436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3441860465116279,0.1116279069767441,0.0372093023255813,0.0604651162790697,0.0186046511627906,0.0,0.0,0.0,0.2186046511627906,0.0465116279069766,0.38139534883720916,0.0133333333333333,0.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.10571428571428569,0.0,0.0133333333333333,0.004589147286821693,0.02232558139534882,0.0,0.0,0.0,0.0,0.0,0.0,-0.023109634551495,0.0,0.005085271317829442,2017Q1,0.8329000000000004,0.07912516331529679,3.990500000000001,0.06794290829504082,1557975.0,0.0,14.0,unrated
ALTR,0.4112903225806452,0.2338709677419354,0.064516129032258,0.0403225806451612,0.0161290322580645,0.0241935483870967,0.0241935483870967,0.0,0.032258064516129,0.0,0.0483870967741935,0.0080645161290322,0.0,0.0241935483870967,0.0,0.0,0.0,0.0,0.0161290322580645,0.0161290322580645,0.0161290322580645,0.0080645161290322,0.0,0.0,0.0080645161290322,0.0,0.0,0.0,0.0080645161290322,0.0,0.0192307692307692,0.1333333333333333,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,337.85714285714283,0.0025545955956139,0.0013300105520756,0.0011823767410754,0.0052006196834068,0.0004810004810004,0.00790942928039701,0.031182795698924713,0.0,0.006720430107526864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4274193548387097,0.2338709677419354,0.0645161290322579,0.0483870967741934,0.0080645161290322,0.0,0.0,0.0080645161290322,0.0806451612903225,0.04838709677419349,0.4193548387096774,0.0096153846153846,0.1333333333333333,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0096153846153846,0.004109801488833741,0.031182795698924713,0.005376344086021489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004032258064516122,2017Q4,2.0500000000000007,0.06242749654048979,5.150000000000002,0.04617950168242228,15960361.0,0.0,14.0,unrated
AYX,0.3012345679012346,0.254320987654321,0.1135802469135802,0.0839506172839506,0.0419753086419753,0.0296296296296296,0.0172839506172839,0.0148148148148148,0.0419753086419753,0.0074074074074074,0.0222222222222222,0.0024691358024691,0.0024691358024691,0.0074074074074074,0.0,0.0148148148148148,0.0074074074074074,0.0,0.0,0.0049382716049382,0.0,0.0049382716049382,0.0,0.0,0.0049382716049382,0.0172839506172839,0.0049382716049382,0.0,0.0,0.0,0.08130081300813,0.2596153846153846,0.1914893617021276,0.2857142857142857,-0.0555555555555555,0.1538461538461538,0.125,0.4285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,29,0,447.5517241379311,0.0078850351828243,0.0031563550958345,0.0049319229915394,0.0032407049543865,0.0022585764209946,0.024490615276523114,0.06602564102564101,0.02174940898345152,0.023985890652557313,-0.0023319615912208475,0.004558404558404552,0.0021604938271604875,0.006349206349206341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00185185185185185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032921810699588,0.0,0.0,0.0,0.3012345679012346,0.254320987654321,0.09135802469135801,0.0469135802469135,0.0049382716049382,0.0,0.0049382716049382,0.019753086419753,0.1580246913580246,0.0567901234567901,0.3012345679012346,0.040650406504065,0.2596153846153846,0.14285714285714285,0.1394230769230769,0.0,0.0,0.6666666666666666,0.0,0.027186761229314422,0.0625,0.040650406504065,0.012245307638261557,0.06602564102564101,0.013051146384479715,0.0065408357075023614,0.0,0.0,0.0032921810699588,0.0,0.004296179552286721,0.003549382716049381,0.012245307638261557,2017Q1,0.13000000000000078,0.02396624868701593,-0.6999999999999993,0.024876243805297484,11138587.0,0.0,11.0,unrated
