No.,datadate,prccd,ajexdi,conm,tic,ipo_date,price,quarter,date_diff,Identifier,Trading Volume - Monthly,Net Asset Value - Monthly,Monthly Total Return Factor,Stock Exchange Code,S&P Rating
0,12/13/2019,16.6,1,SPROUT SOCIAL INC,SPT,12/13/2019,16.6,2019Q4,0,SPTDec-19,7988794,0,1,14,
1,12/16/2019,16.75,1,SPROUT SOCIAL INC,SPT,12/13/2019,16.75, ,3,SPTDec-19,7988794,0,1,14,
2,12/17/2019,16.78,1,SPROUT SOCIAL INC,SPT,12/13/2019,16.78,2019Q4,4,SPTDec-19,7988794,0,1,14,
3,12/18/2019,16.56,1,SPROUT SOCIAL INC,SPT,12/13/2019,16.56,2019Q4,5,SPTDec-19,7988794,0,1,14,
4,12/19/2019,16.02,1,SPROUT SOCIAL INC,SPT,12/13/2019,16.02,2019Q4,6,SPTDec-19,7988794,0,1,14,
5,12/20/2019,16,m,SPROUT SOCIAL INC,SPT,12/13/2019,16,2019Q4,7,SPTDec-19,7988794,0,1,14,
6,12/23/2019,15.98,1,SPROUT SOCIAL INC,SPT,12/13/2019,15.98,2019Q4,10,SPTDec-19,7988794,0,1,14,
7,12/24/2019,16,1,SPROUT SOCIAL INC,SPT,12/13/2019,16,2019Q4,11,SPTDec-19,7988794,0,1,14,
8,12/26/2019,16,1,SPROUT SOCIAL INC,SPT,12/13/2019,16,2019Q4,13,SPTDec-19,7988794,0,1,14,
9,12/27/2019,16.12,1,SPROUT SOCIAL INC,SPT,12/13/2019,16.12,2019Q4,14,SPTDec-19,7988794,0,1,14,
10,12/30/2019,16.01,1,SPROUT SOCIAL INC,SPT,12/13/2019,16.01,2019Q4,17,SPTDec-19,7988794,0,1,14,
11,12/31/2019,16.05,1,SPROUT SOCIAL INC,SPT,12/13/2019,16.05,2019Q4,18,SPTDec-19,7988794,0,1,14,
12,1/2/2020,16.55,1,SPROUT SOCIAL INC,SPT,12/13/2019,16.55,2019Q4,20,SPTDec-19,7988794,0,1,14,
13,1/3/2020,16.58,1,SPROUT SOCIAL INC,SPT,12/13/2019,16.58,2019Q4,21,SPTDec-19,7988794,0,1,14,
14,1/6/2020,17.3,1,SPROUT SOCIAL INC,SPT,12/13/2019,17.3,2019Q4,24,SPTDec-19,7988794,0,1,14,
15,1/7/2020,17.78,1,SPROUT SOCIAL INC,SPT,12/13/2019,17.78,2019Q4,25,SPTDec-19,7988794,0,1,14,
16,1/8/2020,17.44,1,SPROUT SOCIAL INC,SPT,12/13/2019,17.44,2019Q4,26,SPTDec-19,7988794,0,1,14,
17,1/9/2020,17.7,1,SPROUT SOCIAL INC,SPT,12/13/2019,17.7,2019Q4,27,SPTDec-19,7988794,0,1,14,
18,1/10/2020,18.13,1,SPROUT SOCIAL INC,SPT,12/13/2019,18.13,2019Q4,28,SPTDec-19,7988794,0,1,14,
19,1/13/2020,18.52,1,SPROUT SOCIAL INC,SPT,12/13/2019,18.52,2019Q4,31,SPTDec-19,7988794,0,1,14,
20,12/13/2019,10,1,ONECONNECT FINANCIAL,OCFT,12/13/2019,10,2019Q4,0,OCFTDec-19,11365489,0,1,11,
21,12/16/2019,9.75,1,ONECONNECT FINANCIAL,OCFT,12/13/2019,9.75,2019Q4,3,OCFTDec-19,11365489,0,1,11,
22,12/17/2019,9.84,1,ONECONNECT FINANCIAL,OCFT,12/13/2019,9.84,2019Q4,4,OCFTDec-19,11365489,0,1,11,
23,12/18/2019,9.87,1,ONECONNECT FINANCIAL,OCFT,12/13/2019,9.87,2019Q4,5,OCFTDec-19,11365489,0,1,11,
24,12/19/2019,9.88,1,ONECONNECT FINANCIAL,OCFT,12/13/2019,9.88,2019Q4,6,OCFTDec-19,11365489,0,1,11,
25,12/20/2019,9.85,1,ONECONNECT FINANCIAL,OCFT,12/13/2019,9.85,2019Q4,7,OCFTDec-19,11365489,0,1,11,
26,12/23/2019,9.9,1,ONECONNECT FINANCIAL,OCFT,12/13/2019,9.9,2019Q4,10,OCFTDec-19,11365489,0,1,11,
27,12/24/2019,9.85,1,ONECONNECT FINANCIAL,OCFT,12/13/2019,9.85,2019Q4,11,OCFTDec-19,11365489,0,1,11,
28,12/26/2019,10.01,1,ONECONNECT FINANCIAL,OCFT,12/13/2019,10.01,2019Q4,13,OCFTDec-19,11365489,0,1,11,
29,12/27/2019,10.06,1,ONECONNECT FINANCIAL,OCFT,12/13/2019,10.06,2019Q4,14,OCFTDec-19,11365489,0,1,11,
